Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1988 ,172299 ,  ,7 ,Butte ,  ,  ,  ,  ,  , 
1988 ,172299 ,  ,19 ,Fresno ,  ,  ,  ,  ,  , 
1988 ,172299 ,  ,21 ,Glenn ,5300 ,0.21 ,1095 ,2798 ,TONS ,3064000
1988 ,41299 ,  ,23 ,Humboldt ,  ,  ,  ,  ,  ,487000
1988 ,184599 ,  ,39 ,Madera ,17500 ,  ,  ,  ,  ,2188000
1988 ,184699 ,  ,39 ,Madera ,405000 ,  ,  ,  ,  ,3645000
1988 ,230569 ,  ,59 ,Orange ,  ,  ,  ,  ,  , 
1988 ,172299 ,  ,61 ,Placer ,  ,  ,  ,  ,  , 
1988 ,172299 ,  ,67 ,Sacramento ,  ,  ,  ,  ,  , 
1988 ,192199 ,  ,67 ,Sacramento ,  ,  ,  ,  ,  , 
1988 ,859999 ,  ,83 ,Santa Barbara ,  ,  ,  ,  ,  ,7826000
1988 ,171199 ,  ,89 ,Shasta ,  ,  ,  ,  ,  , 
1988 ,172299 ,  ,93 ,Siskiyou ,  ,  ,  ,  ,  , 
1988 ,50119 ,  ,107 ,Tulare ,  ,  ,26833000 ,11 ,CWT ,286576000
1988 ,172299 ,  ,991 ,Sum of Others ,185 ,  ,  ,  ,  ,147500
1988 ,502999 ,  ,991 ,Sum of Others ,35 ,  ,  ,  ,  ,59850
1988 ,502999 ,  , 999, State Totals,428020 ,0.21 ,26834095 ,11 ,    ,303993350
1988 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,37825 ,50 ,TON ,1891000
1988 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,12360 ,35 ,TON ,433000
1988 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,57600 ,50 ,TON ,2880000
1988 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,13470 ,50 ,  ,674000
1988 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,138000 ,67 ,TON ,9211000
