Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1980 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,30000 ,59 ,TONS ,1770000
1980 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,5250 ,60 ,TONS ,315000
1980 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,23700 ,75 ,TONS ,1778000
1980 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,88600 ,77 ,TONS ,6811000
1980 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,4216 ,50 ,TONS ,210800
1980 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,21956 ,70 ,TONS ,1537000
1980 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,51300 ,71 ,TONS ,3642000
1980 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,34000 ,70 ,TONS ,2380000
1980 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,1562 ,60 ,TONS ,93700
1980 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,46000 ,60 ,TONS ,2760000
1980 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,2765 ,60 ,TONS ,166000
1980 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,15000 ,72 ,TONS ,1080000
1980 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1548 ,60 ,TONS ,92900
1980 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,325897 ,69 ,    ,22636400
1980 ,261999 ,ALMONDS ALL ,7 ,Butte ,31468 ,0.42 ,13217 ,3000 ,TONS ,39651000
1980 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,  ,  ,12 ,3600 ,TONS ,43200
1980 ,261999 ,ALMONDS ALL ,11 ,Colusa ,14000 ,0.15 ,2100 ,2800 ,TONS ,5880000
